,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,snapshotDate,latestStockPrice,optionType,ticker
54,MSFT250502C00422500,2025-04-28 19:59:27+00:00,422.5,0.84,0.8,0.87,-0.01000005,-1.1764765,198.0,233,0.5280808911132813,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
55,MSFT250502C00425000,2025-04-28 19:59:27+00:00,425.0,0.67,0.63,0.68,0.00999999,1.51515,1097.0,3873,0.5273484765625001,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
56,MSFT250502C00430000,2025-04-28 19:57:22+00:00,430.0,0.42,0.38,0.4,0.01999998,4.999995,932.0,1275,0.5249070947265625,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
57,MSFT250502C00435000,2025-04-28 19:59:07+00:00,435.0,0.27,0.21,0.27,0.060000017,28.571438,777.0,1017,0.5288133056640626,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
58,MSFT250502C00440000,2025-04-28 19:59:15+00:00,440.0,0.16,0.14,0.16,0.04,33.333336,535.0,680,0.5351608984375,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
59,MSFT250502C00445000,2025-04-28 19:58:59+00:00,445.0,0.1,0.08,0.11,0.030000001,42.857143,424.0,383,0.5429733203125001,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
60,MSFT250502C00450000,2025-04-28 19:54:54+00:00,450.0,0.06,0.05,0.06,0.009999998,19.999994,943.0,1833,0.5449264257812501,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
61,MSFT250502C00455000,2025-04-28 19:24:13+00:00,455.0,0.05,0.01,0.05,0.020000001,66.66668,90.0,544,0.5449264257812501,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
62,MSFT250502C00460000,2025-04-28 17:45:55+00:00,460.0,0.03,0.02,0.03,0.01,50.0,414.0,75,0.570316796875,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
63,MSFT250502C00465000,2025-04-28 19:42:34+00:00,465.0,0.03,0.02,0.03,0.0,0.0,123.0,19,0.6015664843750002,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
64,MSFT250502C00470000,2025-04-28 19:48:07+00:00,470.0,0.01,0.0,0.34,-0.04,-80.00001,5.0,9,0.7939473730468749,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
65,MSFT250502C00475000,2025-03-28 16:59:51+00:00,475.0,0.06,0.0,0.31,0.0,0.0,2.0,2,0.82226740234375,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
66,MSFT250502C00500000,2025-04-16 19:40:51+00:00,500.0,0.01,0.0,0.01,0.0,0.0,1.0,133,0.7187528125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
67,MSFT250502C00510000,2025-04-01 19:49:18+00:00,510.0,0.16,0.0,0.33,0.0,0.0,1.0,0,1.083988955078125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
68,MSFT250502C00560000,2025-04-28 13:30:06+00:00,560.0,0.01,0.0,0.01,0.0,0.0,48.0,12,1.0312548437500002,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,CALL,MSFT
69,MSFT250502P00225000,2025-04-25 18:53:34+00:00,225.0,0.02,0.0,0.01,0.01,100.0,1.0,36,1.5625021874999998,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
70,MSFT250502P00230000,2025-04-28 18:48:13+00:00,230.0,0.01,0.0,0.01,-0.03,-75.0,501.0,65,1.5000025,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
71,MSFT250502P00235000,2025-04-17 14:56:32+00:00,235.0,0.06,0.0,0.37,0.0,0.0,1.0,31,2.042973642578125,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
72,MSFT250502P00240000,2025-04-21 13:43:51+00:00,240.0,0.02,0.0,0.17,-0.030000001,-60.0,1.0,41,1.7968760156249999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
73,MSFT250502P00245000,2025-04-28 14:16:46+00:00,245.0,0.01,0.0,0.24,0.0,0.0,13.0,72,1.7968760156249999,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
74,MSFT250502P00250000,2025-04-21 18:04:52+00:00,250.0,0.08,0.0,0.06,0.0,0.0,3.0,58,1.4921900390624998,False,REGULAR,USD,2025-05-02,2025-04-28,391.1600036621094,PUT,MSFT
